block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467369,1524125634,1524125642,8,187,7.656516139871988,4.0,2.313060765,40.0
5467370,1524125641,1524125679,38,221,7.289522330398976,4.0,1.0,50.0
5467371,1524125677,1524125713,36,186,24.209323152233253,7.174517750787471,4.0,60.75918090107737
5467372,1524125711,1524125718,7,192,17.40155659876799,5.374917050691245,1.0,53.32663015324447
5467373,1524125717,1524125732,15,180,17.540893084696084,4.0,2.82393801626462,50.0
5467374,1524125724,1524125733,9,250,4.326156423156445,1.793574712643681,1.0,22.25099499999988
5467375,1524125730,1524125750,20,124,8.250397031287765,2.0,2.0,35.78490033222591
5467376,1524125746,1524125766,20,191,19.453230662418783,5.0,3.0,81.37030936553515
5467377,1524125749,1524125777,28,175,12.665067536965475,3.4945280733944957,3.0,55.0
5467380,1524125767,1524125784,17,8,10.289042277825711,0.0,0.0,50.0
5467381,1524125781,1524125802,21,175,4.644047668789801,2.0,2.0,13.470593092461144
5467382,1524125787,1524125833,46,29,38.269446853255744,49.07166170375885,21.0,55.0
5467383,1524125833,1524125856,23,238,16.235204257191654,5.0,1.0,49.87193059527042
5467384,1524125855,1524125900,45,182,26.805524664435985,20.0,6.0,50.0
5467385,1524125899,1524125909,10,204,19.06759889491584,8.9910277847605,3.0,50.0
5467386,1524125910,1524125924,14,166,9.988906056315658,4.0,3.0,30.49844199095021
5467388,1524125925,1524125940,15,67,4.316299359968547,2.224939241345039,2.0,25.000000000036536
5467389,1524125936,1524125975,39,179,5.593823244900883,3.0,2.0,27.06310597749553
5467390,1524125964,1524125990,26,185,13.909404808563673,5.0,3.514468178101097,50.0
5467391,1524125973,1524125997,24,291,6.375002194922357,1.0,1.0,38.00406553659285
